age_min,age_max,landmark,max_fu_days,n,events,n_vax,events_vax,n_unvax,events_unvax,HR,CI_lower,CI_upper,p_value
28,52,90,760,745,19,188,2,557,17,0.34331655585188303,0.0793167806091875,1.4860191830371179,0.15267784141259785
28,52,90,790,745,19,188,2,557,17,0.3433165558518831,0.0793167806091875,1.4860191830371183,0.15267784141259785
28,52,90,820,745,20,188,3,557,17,0.5147967735477936,0.15086060560343414,1.7566926567420966,0.2890164029646024
28,52,90,1095,745,24,188,5,557,19,0.7703545482484871,0.28763202337345023,2.063213000579644,0.6037111910946279
28,52,90,1460,745,30,188,5,557,25,0.5910904649782307,0.22626955674883967,1.5441226067190443,0.28317710297471366
28,52,90,1825,745,34,188,6,557,28,0.6376230561178129,0.2639995744693796,1.5400144583951798,0.31719205230172576
28,52,120,All,742,37,188,7,554,30,0.7018340968189776,0.3082443916396799,1.5979888452715063,0.3990039851238838
28,52,120,365,742,9,188,2,554,7,0.8411904762220035,0.17474353433768205,4.049371096725108,0.8292292656489241
28,52,120,400,742,9,188,2,554,7,0.8411904762220036,0.17474353433768205,4.049371096725108,0.8292292656489242
28,52,120,450,742,9,188,2,554,7,0.8411904762220036,0.17474353433768205,4.049371096725108,0.8292292656489242
28,52,120,500,742,10,188,2,554,8,0.7351828697831648,0.15611603335935192,3.4621290356416314,0.6971790459159366
28,52,120,550,742,10,188,2,554,8,0.7351828697831649,0.15611603335935198,3.4621290356416323,0.6971790459159368
28,52,120,600,742,12,188,2,554,10,0.5864938015302549,0.1285021714319172,2.6768028539942166,0.4909096516101995
28,52,120,650,742,15,188,2,554,13,0.4486032415053117,0.10123008275967768,1.9879947027884248,0.2912580917763006
28,52,120,700,742,16,188,2,554,14,0.4158496182168128,0.09450808004193398,1.8298002127896174,0.24575616740570438
28,52,120,730,742,16,188,2,554,14,0.4158496182168127,0.09450808004193394,1.829800212789617,0.24575616740570438
28,52,120,750,742,16,188,2,554,14,0.4158496182168129,0.09450808004193398,1.8298002127896176,0.24575616740570438
28,52,120,800,742,16,188,2,554,14,0.4158496182168128,0.09450808004193398,1.8298002127896174,0.24575616740570438
28,52,120,850,742,17,188,3,554,14,0.6236120258943031,0.17920674165733527,2.17007438025744,0.4579419160023902
28,52,120,900,742,19,188,3,554,16,0.5459099445106037,0.15906269383513635,1.8735861962985276,0.3360110011115629
28,52,120,730,742,16,188,2,554,14,0.4158496182168127,0.09450808004193394,1.829800212789617,0.24575616740570438
28,52,120,760,742,16,188,2,554,14,0.4158496182168129,0.09450808004193398,1.8298002127896176,0.24575616740570438
28,52,120,790,742,16,188,2,554,14,0.4158496182168128,0.09450808004193398,1.8298002127896174,0.24575616740570438
28,52,120,820,742,17,188,3,554,14,0.6236120258943031,0.17920674165733527,2.17007438025744,0.4579419160023902
28,52,120,1095,742,21,188,5,554,16,0.9134737199864887,0.3346294005779526,2.493607064008026,0.8597958961229663
28,52,120,1460,742,27,188,5,554,22,0.6716522237400714,0.2543316894075878,1.773733783256677,0.42178776004216234
28,52,120,1825,742,31,188,6,554,25,0.7145736680155206,0.2931217618380845,1.7419911910300638,0.4597883180601182
28,52,150,All,741,36,187,6,554,30,0.6018967660022057,0.2504991898065729,1.4462310924185198,0.25634829128375547
28,52,150,365,741,8,187,1,554,7,0.4205472103772501,0.05173973827073225,3.418261515561857,0.4177944529142814
28,52,150,400,741,8,187,1,554,7,0.42054721037725007,0.05173973827073222,3.418261515561858,0.4177944529142815
28,52,150,450,741,8,187,1,554,7,0.42054721037725007,0.05173973827073222,3.418261515561858,0.4177944529142815
28,52,150,500,741,9,187,1,554,8,0.36750612508171066,0.0459632753039561,2.9384492527874557,0.3452898744853251
28,52,150,550,741,9,187,1,554,8,0.36750612508171066,0.0459632753039561,2.9384492527874557,0.3452898744853251
28,52,150,600,741,11,187,1,554,10,0.29311560189509017,0.03752081838976013,2.2898422732103483,0.24197089269940264
28,52,150,650,741,14,187,1,554,13,0.224130911080925,0.029318810332658922,1.7133937131824177,0.14955225347407958
28,52,150,700,741,15,187,1,554,14,0.20775329570684128,0.027317965793512415,1.579965075119334,0.12898666715367585
28,52,150,730,741,15,187,1,554,14,0.20775329570684128,0.027317965793512415,1.579965075119334,0.12898666715367585
28,52,150,750,741,15,187,1,554,14,0.20775329570684128,0.027317965793512415,1.579965075119334,0.12898666715367585
28,52,150,800,741,15,187,1,554,14,0.20775329570684134,0.027317965793512415,1.5799650751193344,0.12898666715367593
28,52,150,850,741,16,187,2,554,14,0.41541349500549696,0.09440903629351635,1.82787981540421,0.24519170441852545
28,52,150,900,741,18,187,2,554,16,0.363694153191161,0.08362135750151968,1.5818140367194096,0.17747312823460581
28,52,150,730,741,15,187,1,554,14,0.20775329570684128,0.027317965793512415,1.579965075119334,0.12898666715367585
28,52,150,760,741,15,187,1,554,14,0.20775329570684128,0.027317965793512415,1.579965075119334,0.12898666715367585
28,52,150,790,741,15,187,1,554,14,0.20775329570684134,0.027317965793512415,1.5799650751193344,0.12898666715367593
28,52,150,820,741,16,187,2,554,14,0.41541349500549696,0.09440903629351635,1.82787981540421,0.24519170441852545
28,52,150,1095,741,20,187,4,554,16,0.7304752560113962,0.24420115291343256,2.1850597070443394,0.5742576044930361
28,52,150,1460,741,26,187,4,554,22,0.5373688451736598,0.18516771107474622,1.5594796419269208,0.25322566306896
28,52,150,1825,741,30,187,5,554,25,0.5956670966990578,0.22801529998149092,1.5561205327830505,0.2903124167680259
28,52,180,All,740,36,187,6,553,30,0.6018967660022059,0.25049918980657293,1.44623109241852,0.2563482912837557
28,52,180,365,740,8,187,1,553,7,0.4205472103772501,0.05173973827073225,3.418261515561857,0.4177944529142814
28,52,180,400,740,8,187,1,553,7,0.4205472103772502,0.05173973827073227,3.418261515561858,0.4177944529142815
28,52,180,450,740,8,187,1,553,7,0.4205472103772502,0.05173973827073227,3.418261515561858,0.4177944529142815
28,52,180,500,740,9,187,1,553,8,0.36750612508171066,0.0459632753039561,2.938449252787457,0.3452898744853252
28,52,180,550,740,9,187,1,553,8,0.3675061250817106,0.0459632753039561,2.9384492527874553,0.3452898744853251
28,52,180,600,740,11,187,1,553,10,0.29311560189509017,0.03752081838976013,2.2898422732103483,0.24197089269940264
