age_min,age_max,landmark,max_fu_days,n,events,n_vax,events_vax,n_unvax,events_unvax,HR,CI_lower,CI_upper,p_value
30,50,90,800,642,17,160,2,482,15,0.3962732546965193,0.09061809921969577,1.732904284463755,0.21883090543321537
30,50,90,850,642,18,160,3,482,15,0.5944086007500271,0.17207622292594754,2.053285332731042,0.4108043670878647
30,50,90,900,642,20,160,3,482,17,0.5250318213133726,0.15386018701134777,1.7916162637401858,0.3035518950804911
30,50,90,730,642,17,160,2,482,15,0.3962732546965193,0.09061809921969577,1.732904284463755,0.21883090543321537
30,50,90,760,642,17,160,2,482,15,0.3962732546965193,0.09061809921969577,1.732904284463755,0.21883090543321537
30,50,90,790,642,17,160,2,482,15,0.3962732546965193,0.09061809921969577,1.732904284463755,0.21883090543321537
30,50,90,820,642,18,160,3,482,15,0.5944086007500271,0.17207622292594751,2.0532853327310425,0.41080436708786494
30,50,90,1095,642,22,160,5,482,17,0.8793735371901844,0.3244167718060674,2.383655486136965,0.8005297808078227
30,50,90,1460,642,28,160,5,482,23,0.6577522737893468,0.2500430633974935,1.7302541722074931,0.3959112172744709
30,50,90,1825,642,32,160,6,482,26,0.701945918709997,0.2889010832630562,1.7055251826278992,0.4346091080585489
30,50,120,All,639,34,160,7,479,27,0.7979810224896002,0.34746252197877525,1.83263998841419,0.5947306537562617
30,50,120,365,639,8,160,2,479,6,0.9989222134220973,0.20161147063012638,4.94934928726717,0.9989462146443469
30,50,120,400,639,8,160,2,479,6,0.9989222134220971,0.20161147063012635,4.949349287267169,0.9989462146443466
30,50,120,450,639,8,160,2,479,6,0.9989222134220971,0.20161147063012635,4.949349287267169,0.9989462146443466
30,50,120,500,639,9,160,2,479,7,0.8552637406512175,0.1776670844019557,4.117116395166449,0.8453955510897657
30,50,120,550,639,9,160,2,479,7,0.8552637406512175,0.17766708440195564,4.11711639516645,0.8453955510897658
30,50,120,600,639,11,160,2,479,9,0.663273823423972,0.1433056019008699,3.0698881202409156,0.5994459144315376
30,50,120,650,639,13,160,2,479,11,0.5403151944348914,0.11975806301013596,2.4377524318550936,0.4232349466385231
30,50,120,700,639,14,160,2,479,12,0.49413788707763234,0.11058897164037523,2.2079258702176174,0.3560218085040837
30,50,120,730,639,14,160,2,479,12,0.4941378870776322,0.11058897164037523,2.207925870217616,0.3560218085040835
30,50,120,750,639,14,160,2,479,12,0.4941378870776322,0.11058897164037523,2.207925870217616,0.3560218085040835
30,50,120,800,639,14,160,2,479,12,0.4941378870776322,0.11058897164037523,2.207925870217616,0.3560218085040835
30,50,120,850,639,15,160,3,479,12,0.7413250806055618,0.2091903426365068,2.6270948658933735,0.6428691080700983
30,50,120,900,639,17,160,3,479,14,0.6363795155568799,0.18287579421757233,2.2145024143468364,0.47746520768730283
30,50,120,730,639,14,160,2,479,12,0.4941378870776322,0.11058897164037523,2.207925870217616,0.3560218085040835
30,50,120,760,639,14,160,2,479,12,0.4941378870776322,0.11058897164037523,2.207925870217616,0.3560218085040835
30,50,120,790,639,14,160,2,479,12,0.4941378870776322,0.11058897164037523,2.207925870217616,0.3560218085040835
30,50,120,820,639,15,160,3,479,12,0.7413250806055619,0.20919034263650685,2.6270948658933744,0.6428691080700984
30,50,120,1095,639,19,160,5,479,14,1.0669101353190453,0.38426717488078976,2.962254679181574,0.9010702582010686
30,50,120,1460,639,25,160,5,479,20,0.7570170673294125,0.2840950956193145,2.0171937110661733,0.5777355958874338
30,50,120,1825,639,29,160,6,479,23,0.7944895963834907,0.3234763039750601,1.9513445374665475,0.6158049938315706
30,50,150,All,638,33,159,6,479,27,0.6845354037550332,0.2825935948934243,1.6581717613620617,0.4011013498222641
30,50,150,365,638,7,159,1,479,6,0.4995325214073114,0.060137258967628185,4.149386656912134,0.5204867648319715
30,50,150,400,638,7,159,1,479,6,0.49953252140731136,0.060137258967628185,4.149386656912133,0.5204867648319713
30,50,150,450,638,7,159,1,479,6,0.4995325214073114,0.060137258967628185,4.149386656912136,0.5204867648319715
30,50,150,500,638,8,159,1,479,7,0.42762524073930236,0.05261056130757694,3.4757915896063696,0.42682223917521556
30,50,150,550,638,8,159,1,479,7,0.4276252407393024,0.05261056130757697,3.4757915896063714,0.42682223917521567
30,50,150,600,638,10,159,1,479,9,0.33153543992982676,0.04200161246260195,2.6169411478507474,0.2949321034169782
30,50,150,650,638,12,159,1,479,11,0.2699888426056843,0.034855631570421014,2.0913112701539984,0.20997906257192267
30,50,150,700,638,13,159,1,479,12,0.2468815878704187,0.03210013047037847,1.8987623270149483,0.1789620871265316
30,50,150,730,638,13,159,1,479,12,0.2468815878704187,0.032100130470378484,1.8987623270149474,0.1789620871265315
30,50,150,750,638,13,159,1,479,12,0.2468815878704187,0.032100130470378484,1.8987623270149474,0.1789620871265315
30,50,150,800,638,13,159,1,479,12,0.2468815878704187,0.032100130470378484,1.8987623270149474,0.1789620871265315
30,50,150,850,638,14,159,2,479,12,0.4938749746026417,0.11053019994948493,2.2067497448682274,0.35565858772827985
30,50,150,900,638,16,159,2,479,14,0.4240358319615108,0.09636858108442027,1.8658195935226816,0.25640407520283515
30,50,150,730,638,13,159,1,479,12,0.2468815878704187,0.032100130470378484,1.8987623270149474,0.1789620871265315
30,50,150,760,638,13,159,1,479,12,0.2468815878704187,0.032100130470378484,1.8987623270149474,0.1789620871265315
30,50,150,790,638,13,159,1,479,12,0.2468815878704187,0.032100130470378484,1.8987623270149474,0.1789620871265315
30,50,150,820,638,14,159,2,479,12,0.4938749746026417,0.11053019994948493,2.2067497448682274,0.35565858772827985
30,50,150,1095,638,18,159,4,479,14,0.8534090494947763,0.28089335150637973,2.592823937817681,0.7797964440030162
30,50,150,1460,638,24,159,4,479,20,0.6058819211119202,0.20707339441821943,1.7727671068590563,0.3603174600505994
30,50,150,1825,638,28,159,5,479,23,0.6624618392903077,0.2518293627831587,1.7426708453127462,0.4040137394341565
30,50,180,All,637,33,159,6,478,27,0.6845354037550331,0.2825935948934242,1.6581717613620617,0.40110134982226386
30,50,180,365,637,7,159,1,478,6,0.4995325214073113,0.060137258967628185,4.149386656912133,0.5204867648319713
30,50,180,400,637,7,159,1,478,6,0.49953252140731136,0.060137258967628185,4.149386656912133,0.5204867648319713
30,50,180,450,637,7,159,1,478,6,0.49953252140731125,0.060137258967628185,4.149386656912133,0.5204867648319712
30,50,180,500,637,8,159,1,478,7,0.4276252407393023,0.05261056130757694,3.4757915896063696,0.42682223917521556
30,50,180,550,637,8,159,1,478,7,0.4276252407393024,0.05261056130757697,3.4757915896063705,0.42682223917521556
30,50,180,600,637,10,159,1,478,9,0.33153543992982676,0.04200161246260195,2.6169411478507474,0.2949321034169782
30,50,180,650,637,12,159,1,478,11,0.2699888426056843,0.034855631570421014,2.0913112701539984,0.20997906257192267
30,50,180,700,637,13,159,1,478,12,0.2468815878704187,0.03210013047037847,1.8987623270149483,0.1789620871265316
30,50,180,730,637,13,159,1,478,12,0.2468815878704187,0.032100130470378484,1.8987623270149474,0.1789620871265315
30,50,180,750,637,13,159,1,478,12,0.2468815878704187,0.032100130470378484,1.8987623270149474,0.1789620871265315
30,50,180,800,637,13,159,1,478,12,0.2468815878704187,0.032100130470378484,1.8987623270149474,0.1789620871265315
30,50,180,850,637,14,159,2,478,12,0.4938749746026417,0.11053019994948493,2.2067497448682274,0.35565858772827985
30,50,180,900,637,16,159,2,478,14,0.4240358319615109,0.09636858108442023,1.865819593522683,0.2564040752028355
30,50,180,730,637,13,159,1,478,12,0.2468815878704187,0.032100130470378484,1.8987623270149474,0.1789620871265315
30,50,180,760,637,13,159,1,478,12,0.2468815878704187,0.032100130470378484,1.8987623270149474,0.1789620871265315
30,50,180,790,637,13,159,1,478,12,0.2468815878704187,0.032100130470378484,1.8987623270149474,0.1789620871265315
30,50,180,820,637,14,159,2,478,12,0.4938749746026417,0.11053019994948493,2.2067497448682274,0.35565858772827985
30,50,180,1095,637,18,159,4,478,14,0.8534090494947763,0.28089335150637973,2.592823937817681,0.7797964440030162
30,50,180,1460,637,24,159,4,478,20,0.6058819211119201,0.20707339441821937,1.772767106859056,0.3603174600505994
30,50,180,1825,637,28,159,5,478,23,0.6624618392903074,0.2518293627831586,1.7426708453127455,0.4040137394341561
30,51,0,All,667,48,162,7,505,41,0.5271275045991031,0.2364716185156488,1.1750391351361664,0.11744058959755249
30,51,0,365,667,21,162,2,505,19,0.32193117886342104,0.07498458643503901,1.3821465030573663,0.1273465833330683
30,51,0,400,667,21,162,2,505,19,0.32193117886342093,0.07498458643503898,1.3821465030573659,0.12734658333306817
30,51,0,450,667,21,162,2,505,19,0.321931178863421,0.07498458643503901,1.382146503057366,0.12734658333306817
30,51,0,500,667,22,162,2,505,20,0.3055340259442201,0.0714129080955301,1.3072012259297199,0.10986921247527455
30,51,0,550,667,22,162,2,505,20,0.3055340259442201,0.0714129080955301,1.3072012259297199,0.10986921247527455
30,51,0,600,667,24,162,2,505,22,0.2771231244616618,0.06516329628282459,1.1785350111522144,0.08228556405281127
30,51,0,650,667,27,162,2,505,25,0.24281165230119814,0.05751068956950416,1.0251572174592911,0.054080746796330105
30,51,0,700,667,28,162,2,505,26,0.23308385246621607,0.055319958060375235,0.9820702000749906,0.047182801954893876
30,51,0,730,667,28,162,2,505,26,0.23308385246621607,0.05531995806037521,0.9820702000749908,0.04718280195489391
30,51,0,750,667,28,162,2,505,26,0.23308385246621607,0.05531995806037521,0.9820702000749908,0.04718280195489391
30,51,0,800,667,28,162,2,505,26,0.23308385246621602,0.05531995806037521,0.9820702000749904,0.04718280195489385
30,51,0,850,667,29,162,3,505,26,0.3494804605394766,0.10577538322302955,1.1546787974415296,0.08468381160332665
30,51,0,900,667,31,162,3,505,28,0.32449276844257136,0.09864812627997738,1.0673852686535628,0.06393174740893451
30,51,0,730,667,28,162,2,505,26,0.23308385246621607,0.05531995806037521,0.9820702000749908,0.04718280195489391
30,51,0,760,667,28,162,2,505,26,0.23308385246621607,0.05531995806037521,0.9820702000749908,0.04718280195489391
30,51,0,790,667,28,162,2,505,26,0.23308385246621602,0.05531995806037521,0.9820702000749904,0.04718280195489385
30,51,0,820,667,29,162,3,505,26,0.3494804605394766,0.10577538322302955,1.1546787974415296,0.08468381160332665
30,51,0,1095,667,33,162,5,505,28,0.5421644607116419,0.2093391085589119,1.4041442350750466,0.20734701735750793
30,51,0,1460,667,39,162,5,505,34,0.44933457180519826,0.17573128130249838,1.14892212657241,0.09488566362558358
30,51,0,1825,667,43,162,6,505,37,0.49717929156041807,0.20983198464745711,1.1780246389597058,0.11234429066879743
30,51,30,All,661,42,162,7,499,35,0.6170997798945455,0.2740863513658285,1.3893874556256869,0.2436996091587248
30,51,30,365,661,15,162,2,499,13,0.46788756700521883,0.1055830258301018,2.0734277469025635,0.31732903424491743
30,51,30,400,661,15,162,2,499,13,0.4678875670052189,0.1055830258301018,2.0734277469025635,0.31732903424491754
30,51,30,450,661,15,162,2,499,13,0.4678875670052188,0.1055830258301018,2.073427746902563,0.31732903424491743
30,51,30,500,661,16,162,2,499,14,0.4340344774697523,0.09864217557207478,1.9097908834623498,0.2695453305660832
30,51,30,550,661,16,162,2,499,14,0.43403447746975243,0.09864217557207482,1.9097908834623503,0.2695453305660832
30,51,30,600,661,18,162,2,499,16,0.378864333311604,0.08710996917480492,1.647781355169647,0.1956319975551808
30,51,30,650,661,21,162,2,499,19,0.3175363715908984,0.07396043539735964,1.3632876380648336,0.12279871993130106
30,51,30,700,661,22,162,2,499,20,0.30110762668752067,0.07037766900123321,1.2882751608013985,0.10556595697477682
30,51,30,730,661,22,162,2,499,20,0.30110762668752067,0.07037766900123321,1.2882751608013985,0.10556595697477682
30,51,30,750,661,22,162,2,499,20,0.30110762668752067,0.07037766900123321,1.2882751608013985,0.10556595697477682
30,51,30,800,661,22,162,2,499,20,0.30110762668752067,0.07037766900123321,1.2882751608013985,0.10556595697477682
30,51,30,850,661,23,162,3,499,20,0.45154746314380706,0.13417556656153246,1.5196143135203546,0.19909227170020194
30,51,30,900,661,25,162,3,499,22,0.4106600588539848,0.12291006065108144,1.3720738810527509,0.14816534246768076
30,51,30,730,661,22,162,2,499,20,0.30110762668752067,0.07037766900123321,1.2882751608013985,0.10556595697477682
30,51,30,760,661,22,162,2,499,20,0.30110762668752067,0.07037766900123321,1.2882751608013985,0.10556595697477682
30,51,30,790,661,22,162,2,499,20,0.30110762668752067,0.07037766900123321,1.2882751608013985,0.10556595697477682
30,51,30,820,661,23,162,3,499,20,0.45154746314380706,0.13417556656153246,1.5196143135203546,0.19909227170020194
30,51,30,1095,661,27,162,5,499,22,0.6867909206288433,0.26007017212627587,1.8136711519119972,0.44823876786846417
30,51,30,1460,661,33,162,5,499,28,0.5441472204110134,0.21010164346797672,1.4092997684054878,0.21007606364275777
30,51,30,1825,661,37,162,6,499,31,0.5923043793896176,0.24710087778692627,1.4197621675250949,0.2403121558277902
30,51,60,All,657,38,162,7,495,31,0.697089224850509,0.30693368010816824,1.5831869191788694,0.3885753523734583
30,51,60,365,657,11,162,2,495,9,0.6734648341109627,0.14550819662535416,3.117040093293799,0.6130714032668889
30,51,60,400,657,11,162,2,495,9,0.6734648341109625,0.1455081966253537,3.1170400932938085,0.6130714032668895
30,51,60,450,657,11,162,2,495,9,0.6734648341109625,0.1455081966253537,3.1170400932938085,0.6130714032668895
30,51,60,500,657,12,162,2,495,10,0.6054936435292068,0.13266572464576934,2.763506198252735,0.5171754149148637
30,51,60,550,657,12,162,2,495,10,0.6054936435292068,0.13266572464576934,2.763506198252735,0.5171754149148637
30,51,60,600,657,14,162,2,495,12,0.5032741469599804,0.11263529388946557,2.2487167055013555,0.36865597075743994
30,51,60,650,657,17,162,2,495,15,0.4005420316542486,0.09159444291412248,1.7515682613205414,0.22420942137529865
30,51,60,700,657,18,162,2,495,16,0.3747584572889847,0.08616504229642705,1.6299406066147022,0.19066440259047546
30,51,60,730,657,18,162,2,495,16,0.3747584572889847,0.08616504229642705,1.6299406066147022,0.19066440259047546
30,51,60,750,657,18,162,2,495,16,0.3747584572889847,0.08616504229642705,1.6299406066147022,0.19066440259047546
30,51,60,800,657,18,162,2,495,16,0.3747584572889847,0.08616504229642705,1.6299406066147022,0.19066440259047546
30,51,60,850,657,19,162,3,495,16,0.5620930703973442,0.16377761214113692,1.9291319226002757,0.35985429414846093
30,51,60,900,657,21,162,3,495,18,0.5000707081023132,0.1472981189252292,1.6977183071081083,0.26645353838028607
30,51,60,730,657,18,162,2,495,16,0.3747584572889847,0.08616504229642705,1.6299406066147022,0.19066440259047546
30,51,60,760,657,18,162,2,495,16,0.3747584572889847,0.08616504229642705,1.6299406066147022,0.19066440259047546
30,51,60,790,657,18,162,2,495,16,0.3747584572889847,0.08616504229642705,1.6299406066147022,0.19066440259047546
30,51,60,820,657,19,162,3,495,16,0.5620930703973442,0.16377761214113698,1.9291319226002752,0.35985429414846093
30,51,60,1095,657,23,162,5,495,18,0.8370863283688684,0.3107735200374269,2.2547401112478473,0.7250204320120176
30,51,60,1460,657,29,162,5,495,24,0.6341707645881769,0.24195198266312384,1.6621998887205167,0.35423976755148745
30,51,60,1825,657,33,162,6,495,27,0.6797761933357213,0.280645023371714,1.6465486096076567,0.39245839179632225
30,51,90,All,655,38,162,7,493,31,0.6970892248505092,0.3069336801081683,1.58318691917887,0.3885753523734585
30,51,90,365,655,11,162,2,493,9,0.6734648341109626,0.14550819662535372,3.117040093293809,0.6130714032668896
30,51,90,400,655,11,162,2,493,9,0.6734648341109626,0.1455081966253537,3.1170400932938085,0.6130714032668895
30,51,90,450,655,11,162,2,493,9,0.6734648341109626,0.1455081966253537,3.1170400932938085,0.6130714032668895
30,51,90,500,655,12,162,2,493,10,0.6054936435292071,0.1326657246457694,2.763506198252736,0.517175414914864
30,51,90,550,655,12,162,2,493,10,0.6054936435292068,0.13266572464576934,2.763506198252735,0.5171754149148637
30,51,90,600,655,14,162,2,493,12,0.5032741469599804,0.11263529388946557,2.2487167055013555,0.36865597075743994
30,51,90,650,655,17,162,2,493,15,0.4005420316542485,0.09159444291412244,1.7515682613205412,0.22420942137529876
30,51,90,700,655,18,162,2,493,16,0.3747584572889845,0.086165042296427,1.629940606614701,0.190664402590475
30,51,90,730,655,18,162,2,493,16,0.3747584572889845,0.086165042296427,1.6299406066147013,0.19066440259047512
30,51,90,750,655,18,162,2,493,16,0.3747584572889845,0.086165042296427,1.6299406066147013,0.19066440259047512
30,51,90,800,655,18,162,2,493,16,0.3747584572889845,0.086165042296427,1.629940606614701,0.190664402590475
30,51,90,850,655,19,162,3,493,16,0.5620930703973444,0.16377761214113698,1.929131922600276,0.35985429414846126
30,51,90,900,655,21,162,3,493,18,0.5000707081023131,0.1472981189252292,1.6977183071081077,0.26645353838028585
30,51,90,730,655,18,162,2,493,16,0.3747584572889845,0.086165042296427,1.6299406066147013,0.19066440259047512
30,51,90,760,655,18,162,2,493,16,0.3747584572889845,0.086165042296427,1.6299406066147013,0.19066440259047512
30,51,90,790,655,18,162,2,493,16,0.3747584572889845,0.086165042296427,1.629940606614701,0.190664402590475
30,51,90,820,655,19,162,3,493,16,0.5620930703973442,0.16377761214113698,1.9291319226002754,0.35985429414846093
30,51,90,1095,655,23,162,5,493,18,0.8370863283688685,0.3107735200374269,2.254740111247848,0.7250204320120178
30,51,90,1460,655,29,162,5,493,24,0.6341707645881772,0.24195198266312395,1.6621998887205176,0.354239767551488
30,51,90,1825,655,33,162,6,493,27,0.6797761933357215,0.28064502337171404,1.6465486096076574,0.3924583917963228
30,51,120,All,652,35,162,7,490,28,0.7728843784529257,0.3375725577939536,1.7695462757999836,0.5421387645363374
30,51,120,365,652,8,162,2,490,6,1.0093948643851496,0.20372517368229884,5.001237568392081,0.9908623548378179
30,51,120,400,652,8,162,2,490,6,1.0093948643851498,0.2037251736822989,5.001237568392082,0.9908623548378177
30,51,120,450,652,8,162,2,490,6,1.0093948643851496,0.20372517368229884,5.001237568392081,0.9908623548378179
30,51,120,500,652,9,162,2,490,7,0.864084392797071,0.17949936500065838,4.159579271340287,0.8554261691496277
30,51,120,550,652,9,162,2,490,7,0.8640843927970708,0.17949936500065838,4.159579271340285,0.8554261691496273
30,51,120,600,652,11,162,2,490,9,0.6699866960410359,0.14475585081474016,3.1009604817042375,0.6084300517658272
30,51,120,650,652,14,162,2,490,12,0.4995162311893316,0.1117929373329089,2.231951956665715,0.36345581127593884
30,51,120,700,652,15,162,2,490,13,0.46006118970833865,0.10381513750255489,2.0387806958368007,0.30670601645852047
30,51,120,730,652,15,162,2,490,13,0.46006118970833865,0.10381513750255489,2.0387806958368007,0.30670601645852047
30,51,120,750,652,15,162,2,490,13,0.46006118970833865,0.10381513750255489,2.0387806958368007,0.30670601645852047
30,51,120,800,652,15,162,2,490,13,0.46006118970833876,0.10381513750255489,2.038780695836801,0.3067060164585206
30,51,120,850,652,16,162,3,490,13,0.6901371703793204,0.19665756213192973,2.421922191935094,0.5625873929832528
30,51,120,900,652,18,162,3,490,15,0.5988825186903016,0.17337093016362196,2.068745151533462,0.4175832158544863
30,51,120,730,652,15,162,2,490,13,0.46006118970833865,0.10381513750255489,2.0387806958368007,0.30670601645852047
30,51,120,760,652,15,162,2,490,13,0.46006118970833865,0.10381513750255489,2.0387806958368007,0.30670601645852047
30,51,120,790,652,15,162,2,490,13,0.46006118970833876,0.10381513750255489,2.038780695836801,0.3067060164585206
30,51,120,820,652,16,162,3,490,13,0.6901371703793207,0.19665756213192975,2.421922191935095,0.562587392983253
30,51,120,1095,652,20,162,5,490,15,1.0033504142045244,0.3646426460525198,2.7608181999079533,0.9948321922139521
30,51,120,1460,652,26,162,5,490,21,0.7249709045771107,0.2733483605049857,1.9227582397508756,0.5180906881646197
30,51,120,1825,652,30,162,6,490,24,0.765313769262963,0.31281324826778373,1.8723796663563652,0.5579072430749891
30,51,150,All,651,34,161,6,490,28,0.6628778788534697,0.27444575837600915,1.6010707721387263,0.36078640136365747
30,51,150,365,651,7,161,1,490,6,0.5047802497120821,0.06076902344924891,4.1929767180180235,0.5267858735793658
30,51,150,400,651,7,161,1,490,6,0.5047802497120821,0.06076902344924891,4.1929767180180235,0.5267858735793658
30,51,150,450,651,7,161,1,490,6,0.5047802497120821,0.06076902344924891,4.1929767180180235,0.5267858735793658
30,51,150,500,651,8,161,1,490,7,0.4320341974390737,0.05315297489546903,3.511629370207378,0.4324265755109543
30,51,150,550,651,8,161,1,490,7,0.4320341974390735,0.05315297489546903,3.511629370207375,0.4324265755109542
30,51,150,600,651,10,161,1,490,9,0.3348835372264633,0.042425745497578306,2.643370957658468,0.2993490358671109
30,51,150,650,651,13,161,1,490,12,0.24957954933540535,0.0324509937199301,1.9195082894551874,0.182362330779126
30,51,150,700,651,14,161,1,490,13,0.2298405974039952,0.030065581450097544,1.757049013095139,0.1565204879039294
30,51,150,730,651,14,161,1,490,13,0.2298405974039952,0.030065581450097544,1.757049013095139,0.1565204879039294
30,51,150,750,651,14,161,1,490,13,0.2298405974039952,0.030065581450097544,1.757049013095139,0.1565204879039294
30,51,150,800,651,14,161,1,490,13,0.2298405974039952,0.030065581450097544,1.757049013095139,0.1565204879039294
30,51,150,850,651,15,161,2,490,13,0.4597393452664966,0.10374259444998143,2.03735280293161,0.30626996869463696
30,51,150,900,651,17,161,2,490,15,0.3990151281270224,0.09124491983121776,1.7448979380850118,0.2222824572566806
30,51,150,730,651,14,161,1,490,13,0.2298405974039952,0.030065581450097544,1.757049013095139,0.1565204879039294
30,51,150,760,651,14,161,1,490,13,0.2298405974039952,0.030065581450097544,1.757049013095139,0.1565204879039294
30,51,150,790,651,14,161,1,490,13,0.2298405974039952,0.030065581450097544,1.757049013095139,0.1565204879039294
30,51,150,820,651,15,161,2,490,13,0.4597393452664966,0.10374259444998143,2.03735280293161,0.30626996869463696
30,51,150,1095,651,19,161,4,490,15,0.8024606981271836,0.26631667330659986,2.417960407974233,0.6957502171942611
30,51,150,1460,651,25,161,4,490,21,0.5801154013605528,0.1991180859359547,1.6901221067580963,0.31824082539399967
30,51,150,1825,651,29,161,5,490,24,0.6380100914029536,0.24341324120570634,1.6722873197682988,0.3606613183856564
30,51,180,All,650,34,161,6,489,28,0.6628778788534697,0.27444575837600915,1.6010707721387263,0.3607864013636577
30,51,180,365,650,7,161,1,489,6,0.5047802497120821,0.06076902344924891,4.1929767180180235,0.5267858735793658
30,51,180,400,650,7,161,1,489,6,0.5047802497120822,0.06076902344924891,4.1929767180180235,0.5267858735793658
30,51,180,450,650,7,161,1,489,6,0.5047802497120822,0.06076902344924891,4.1929767180180235,0.5267858735793658
30,51,180,500,650,8,161,1,489,7,0.4320341974390738,0.05315297489546903,3.5116293702073786,0.43242657551095454
30,51,180,550,650,8,161,1,489,7,0.4320341974390738,0.05315297489546905,3.5116293702073795,0.43242657551095465
30,51,180,600,650,10,161,1,489,9,0.3348835372264633,0.042425745497578306,2.643370957658468,0.2993490358671109
30,51,180,650,650,13,161,1,489,12,0.2495795493354053,0.032450993719930085,1.919508289455187,0.1823623307791259
30,51,180,700,650,14,161,1,489,13,0.2298405974039952,0.030065581450097557,1.7570490130951384,0.1565204879039294
30,51,180,730,650,14,161,1,489,13,0.2298405974039952,0.030065581450097557,1.7570490130951384,0.1565204879039294
30,51,180,750,650,14,161,1,489,13,0.2298405974039952,0.030065581450097557,1.7570490130951384,0.1565204879039294
30,51,180,800,650,14,161,1,489,13,0.2298405974039952,0.030065581450097557,1.7570490130951384,0.1565204879039294
30,51,180,850,650,15,161,2,489,13,0.4597393452664966,0.10374259444998149,2.0373528029316095,0.30626996869463696
30,51,180,900,650,17,161,2,489,15,0.39901512812702233,0.09124491983121776,1.7448979380850114,0.22228245725668072
30,51,180,730,650,14,161,1,489,13,0.2298405974039952,0.030065581450097557,1.7570490130951384,0.1565204879039294
30,51,180,760,650,14,161,1,489,13,0.2298405974039952,0.030065581450097557,1.7570490130951384,0.1565204879039294
30,51,180,790,650,14,161,1,489,13,0.2298405974039952,0.030065581450097557,1.7570490130951384,0.1565204879039294
30,51,180,820,650,15,161,2,489,13,0.4597393452664965,0.10374259444998143,2.037352802931609,0.30626996869463674
30,51,180,1095,650,19,161,4,489,15,0.8024606981271835,0.2663166733065999,2.417960407974232,0.6957502171942609
30,51,180,1460,650,25,161,4,489,21,0.580115401360553,0.1991180859359547,1.6901221067580963,0.31824082539399967
30,51,180,1825,650,29,161,5,489,24,0.6380100914029535,0.2434132412057063,1.6722873197682988,0.3606613183856563
30,52,0,All,689,48,169,7,520,41,0.5191482269863931,0.23289489365501967,1.1572382603731106,0.10895098097919159
30,52,0,365,689,21,169,2,520,19,0.31791681639657443,0.07404957920582247,1.3649112288241878,0.12318808813672849
30,52,0,400,689,21,169,2,520,19,0.31791681639657443,0.07404957920582247,1.3649112288241878,0.12318808813672849
30,52,0,450,689,21,169,2,520,19,0.31791681639657443,0.07404957920582247,1.3649112288241878,0.12318808813672849
30,52,0,500,689,22,169,2,520,20,0.30172467076420406,0.07052256209995804,1.2909028577085906,0.10615944267875836
30,52,0,550,689,22,169,2,520,20,0.30172467076420406,0.07052256209995804,1.2909028577085906,0.10615944267875836
30,52,0,600,689,24,169,2,520,22,0.27366925043433915,0.06435116166176724,1.1638462569944572,0.07933501205582094
30,52,0,650,689,27,169,2,520,25,0.2397979417343597,0.05679690528779094,1.0124328529638429,0.05199374755404635
30,52,0,700,689,28,169,2,520,26,0.23025169998712489,0.05464785355217625,0.9701359138715835,0.045358185062327395
30,52,0,730,689,28,169,2,520,26,0.23025169998712489,0.05464785355217625,0.9701359138715835,0.045358185062327395
30,52,0,750,689,28,169,2,520,26,0.23025169998712489,0.05464785355217625,0.9701359138715835,0.045358185062327395
30,52,0,800,689,28,169,2,520,26,0.23025169998712494,0.05464785355217625,0.9701359138715837,0.04535818506232742
30,52,0,850,689,29,169,3,520,26,0.3452453348924997,0.10449372853966929,1.1406841628757087,0.0811362768597171
30,52,0,900,689,31,169,3,520,28,0.3204954673725493,0.09743305888171179,1.0542350387567367,0.06105993153644937
30,52,0,730,689,28,169,2,520,26,0.23025169998712489,0.05464785355217625,0.9701359138715835,0.045358185062327395
30,52,0,760,689,28,169,2,520,26,0.23025169998712489,0.05464785355217625,0.9701359138715835,0.045358185062327395
30,52,0,790,689,28,169,2,520,26,0.23025169998712494,0.05464785355217625,0.9701359138715837,0.04535818506232742
30,52,0,820,689,29,169,3,520,26,0.3452453348924997,0.10449372853966929,1.1406841628757087,0.0811362768597171
30,52,0,1095,689,33,169,5,520,28,0.5353977218912023,0.20672686435505352,1.3866157236050676,0.19817595966353996
30,52,0,1460,689,39,169,5,520,34,0.4433972097286841,0.1734098850399072,1.1337363239122065,0.0895175919721172
30,52,0,1825,689,43,169,6,520,37,0.4903128352371697,0.2069351784982077,1.1617487086681786,0.10537149347337987
30,52,30,All,683,42,169,7,514,35,0.6075506534097983,0.2698493639652824,1.3678660977172508,0.22879233991509185
30,52,30,365,683,15,169,2,514,13,0.462114994537152,0.10428040530234782,2.0478465494731255,0.3094837437885849
30,52,30,400,683,15,169,2,514,13,0.46211499453715205,0.10428040530234782,2.047846549473126,0.3094837437885849
30,52,30,450,683,15,169,2,514,13,0.462114994537152,0.10428040530234782,2.0478465494731255,0.3094837437885849
30,52,30,500,683,16,169,2,514,14,0.42867698734412296,0.09742459780599214,1.8862172758913962,0.26248341015376175
30,52,30,550,683,16,169,2,514,14,0.428676987344123,0.09742459780599214,1.8862172758913964,0.262483410153762
30,52,30,600,683,18,169,2,514,16,0.37418478686614115,0.08603403398910558,1.627428684092499,0.18996996493417972
30,52,30,650,683,21,169,2,514,19,0.31363004939420863,0.07305059418515644,1.3465161916917145,0.11881110113082022
30,52,30,700,683,22,169,2,514,20,0.29750121008817815,0.0695348545892659,1.2728432456892367,0.10211243476071385
