outcome,age_group,landmark,max_fu,n,events,n_vax,events_vax,n_unvax,events_unvax,HR,CI_lower,CI_upper,p_value
Recurrence,<40,270,3,571,8,152,2,419,6,0.9303664176731831,0.1877539332104761,4.610191948222447,0.9295652046170987
Recurrence,<40,270,4,571,12,152,2,419,10,0.5713593055909177,0.12516458804140934,2.6081774501373576,0.4699674094255618
Recurrence,<40,270,5,571,13,152,3,419,10,0.8586567032950326,0.23626511910388548,3.1206101726311433,0.8169590505904175
Recurrence,<40,365,All,558,15,150,3,408,12,0.7370031024718966,0.20791939139801088,2.612423831182864,0.6364579211796932
Recurrence,<40,365,3,558,6,150,1,408,5,0.5619899061643898,0.06564682037463888,4.811088379120859,0.5988663651406934
Recurrence,<40,365,4,558,10,150,1,408,9,0.3202126253624268,0.04056136587922357,2.527925853059577,0.28002870861961815
Recurrence,<40,365,5,558,11,150,2,408,9,0.6413472191477908,0.13854588508220608,2.9688810697231767,0.5699395387799193
Recurrence,<45,0,All,785,46,197,7,588,39,0.5418111767976713,0.24232729589100346,1.2114167750830585,0.13548537212282988
Recurrence,<45,0,2,785,28,197,3,588,25,0.35274228740376745,0.1065004988229716,1.168324305500847,0.08812175787179109
Recurrence,<45,0,3,785,32,197,5,588,27,0.5473247238532069,0.210769505950234,1.4212888718907988,0.21574620838388392
Recurrence,<45,0,4,785,37,197,5,588,32,0.46533824508965826,0.18130713616605917,1.1943252037514627,0.1116693594102295
Recurrence,<45,0,5,785,41,197,6,588,35,0.5129928029560766,0.21576170022940663,1.2196864207360616,0.13089752396639942
Recurrence,<45,90,All,770,34,195,6,575,28,0.6503547323870267,0.2692539242840196,1.5708639310008532,0.33895533977954984
Recurrence,<45,90,2,770,16,195,2,575,14,0.4163456040343115,0.09462198632198829,1.8319596611386502,0.24639422200938543
Recurrence,<45,90,3,770,20,195,4,575,16,0.7362204516667412,0.24611773271087312,2.2022815970319347,0.58384983442749
Recurrence,<45,90,4,770,25,195,4,575,21,0.5677022556311384,0.19485511645174652,1.6539768465791993,0.2994031593934292
Recurrence,<45,90,5,770,29,195,5,575,24,0.6250865992399182,0.23847879366880842,1.6384402593547316,0.33921665677008894
Recurrence,<45,180,All,764,31,194,5,570,26,0.5854168517149543,0.2247699613161485,1.5247272734536292,0.2729404431114877
Recurrence,<45,180,2,764,13,194,1,570,12,0.24234510344130378,0.03151067426519291,1.8638493314264422,0.173265999302899
